Rank,Name,Game,Score
89,法比奥·卡波尼奥,22,20309
90,肖勒·艾迪尔,12,20120
91,丹尼洛·博斯尼乌克,17,20117
92,王柏崴,12,20040
93,赛·普拉尼斯·巴米迪帕提,15,19780
94,汉斯·克里斯蒂安·维廷哈斯,8,19730
95,梅拉巴鲁旺,22,19253
96,郭冠麟,20,18960
97,奇拉格·森,18,18890
98,马克斯·卫斯基兴,20,18669
99,阮海当,21,18570
100,乔兰·奎克尔,16,18557
1,安赛龙,16,102055
2,石宇奇,22,85604
3,李诗沣,23,83948
4,安东尼·西尼苏卡·金廷,20,82781
5,乔纳坦·克里斯蒂,18,82111
6,奈良冈功大,23,79915
7,安德斯·安东森,22,78130
8,昆拉武特·威提讪,19,77978
9,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,73687
10,李梓嘉,24,68226
11,骆建佑,22,66082
12,西本拳太,27,65657
13,周天成,28,61737
14,黄智勇,24,59360
15,常山干太,23,59021
16,翁泓阳,21,58840
17,陆光祖,20,58320
18,李卓耀,27,58044
19,拉克什亚·森,22,57851
20,伍家朗,25,56802
21,林俊易,27,56078
22,渡边航贵,18,50690
23,托马·朱尼尔·波波夫,24,49507
24,杨灿,26,49486
25,斯里坎特,22,49133
26,兹科·奥拉德维·瓦多约,18,47264
27,克里斯托·波波夫,22,46430
28,王子维,25,46040
29,拉斯穆斯·格姆克,15,45709
30,普里耶修·拉贾瓦特,17,42110
31,赵俊鹏,15,40568
32,马格纳斯·约翰森,20,40200
33,李佳豪,24,39328
34,苏力扬,21,38350
35,大林拓真,12,38220
36,基兰·乔治,20,36490
37,桃田贤斗,12,36300
38,梁峻豪,17,36298
39,王高伦,25,36224
40,戚又仁,21,35770
41,凯文·科登,15,35282
42,阮日,20,35023
43,阿诺·梅克尔,16,34259
44,米沙·西尔伯曼,18,33731
45,亚历克斯·拉尼尔,12,33710
46,朱利安·卡拉吉,21,33650
47,伊戈尔·科埃略·德奥利维拉,18,32830
48,雷兰曦,11,32347
49,简·劳达,18,31394
50,萨西什·库马尔·卡鲁纳卡兰,19,30660
51,马克·卡尔乔,18,30175
52,玛兹·克里斯托弗森,18,29990
53,乌里尔·弗朗西斯科,16,29750
54,黄郁岂,19,29330
55,全奕陈,17,28899
56,卡尔·科尔约宁,17,28461
57,舍沙·海仁·雷斯塔维托,10,28200
58,田中涌士,12,28010
59,乔纳森·马蒂耶斯,19,27421
60,阿尔维·法汉,11,27150
61,郑加恒,17,27096
62,詹俊为,19,26830
63,阿德·雷斯基·德维卡约,21,26443
64,米森·曼朱纳特,20,25480
65,高桥洸士,12,24580
66,乔瓦尼·托蒂,22,24050
67,巴勃罗·阿比扬,22,23925
68,廖倬甫,17,23703
69,宋俊伟,20,23610
70,乔金·奥尔多夫,21,23024
71,桑卡尔·穆图萨米·苏布拉马尼安,21,22800
72,陈延泽,11,22330
73,德米特里·帕纳林,20,22310
74,贺首维,7,22250
75,萨米尔·维尔马,9,21920
76,舒之颢,25,21869
77,凯·谢弗,25,21721
78,法比安·罗斯,23,21657
79,路易斯·拉蒙·加里多,14,21606
80,路易斯,22,21592
81,丹尼洛·博斯尼乌克,17,21327
82,维克多·斯文德森,12,21220
83,维伦·内塔辛格,17,21170
84,黎德发,18,20970
85,西蒂空·达玛新,9,20914
86,汤米·苏吉亚托,11,20750
87,秦野陆,14,20650
88,卢卡斯·克莱伯特,12,20416
89,柯林斯·瓦伦丁·菲利蒙,15,20330
90,法比奥·卡波尼奥,21,20309
91,肖勒·艾迪尔,12,20120
92,王柏崴,12,20040
93,赛·普拉尼斯·巴米迪帕提,15,19780
94,梅拉巴鲁旺,22,19253
95,郭冠麟,20,18960
96,奇拉格·森,18,18890
97,马克斯·卫斯基兴,21,18669
98,阮海当,21,18570
99,乔兰·奎克尔,15,18487
100,马克·雪莱·阿尔卡拉,17,18190
1,安赛龙,15,97605
2,石宇奇,22,90184
3,李诗沣,23,83948
4,安东尼·西尼苏卡·金廷,20,81131
5,奈良冈功大,23,81015
6,乔纳坦·克里斯蒂,18,78731
7,安德斯·安东森,21,78130
8,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,76587
9,昆拉武特·威提讪,19,71778
10,李梓嘉,24,69956
11,西本拳太,27,65657
12,骆建佑,21,63632
13,李卓耀,27,62594
14,周天成,28,60007
15,黄智勇,23,59360
16,常山干太,24,59021
17,翁泓阳,21,58840
18,陆光祖,20,58320
19,拉克什亚·森,22,57131
20,伍家朗,25,56802
21,林俊易,28,56078
22,渡边航贵,19,53140
23,托马·朱尼尔·波波夫,24,49507
24,杨灿,26,49486
25,斯里坎特,22,49133
26,王子维,25,47770
27,兹科·奥拉德维·瓦多约,17,47264
28,克里斯托·波波夫,23,46430
29,拉斯穆斯·格姆克,15,43979
30,普里耶修·拉贾瓦特,18,43770
31,大林拓真,13,40430
32,马格纳斯·约翰森,21,40200
33,苏力扬,22,39670
34,李佳豪,25,39328
35,赵俊鹏,14,38908
36,基兰·乔治,21,36490
37,梁峻豪,17,36298
38,桃田贤斗,11,35860
39,戚又仁,21,35770
40,凯文·科登,15,35282
41,阮日,19,35023
42,王高伦,25,34904
43,阿诺·梅克尔,16,34259
44,米沙·西尔伯曼,18,33731
45,亚历克斯·拉尼尔,12,33710
46,朱利安·卡拉吉,21,33650
47,伊戈尔·科埃略·德奥利维拉,18,32830
48,雷兰曦,11,32347
49,萨西什·库马尔·卡鲁纳卡兰,20,31650
50,简·劳达,18,31394
51,马克·卡尔乔,18,30175
52,玛兹·克里斯托弗森,18,29990
53,乌里尔·弗朗西斯科,16,29750
54,黄郁岂,19,29330
55,全奕陈,17,28899
56,田中涌士,12,28010
57,卡尔·科尔约宁,16,28001
58,乔纳森·马蒂耶斯,19,27421
59,阿尔维·法汉,11,27150
60,郑加恒,17,27096
61,詹俊为,19,26830
62,阿德·雷斯基·德维卡约,21,26443
63,舍沙·海仁·雷斯塔维托,9,25540
64,米森·曼朱纳特,20,25480
65,巴勃罗·阿比扬,23,24755
66,高桥洸士,12,24580
67,乔瓦尼·托蒂,22,24050
68,廖倬甫,17,23703
69,宋俊伟,20,23610
70,乔金·奥尔多夫,22,23024
71,桑卡尔·穆图萨米·苏布拉马尼安,20,22800
72,陈延泽,11,22330
73,德米特里·帕纳林,20,22310
74,贺首维,7,22250
75,丹尼洛·博斯尼乌克,18,22157
76,维伦·内塔辛格,18,22000
77,萨米尔·维尔马,9,21920
78,舒之颢,25,21869
79,凯·谢弗,26,21721
80,法比安·罗斯,23,21657
81,路易斯·拉蒙·加里多,14,21606
82,路易斯,22,21592
83,黎德发,18,20970
84,西蒂空·达玛新,9,20914
85,汤米·苏吉亚托,11,20750
86,秦野陆,14,20650
87,卢卡斯·克莱伯特,11,20416
88,柯林斯·瓦伦丁·菲利蒙,15,20330
89,法比奥·卡波尼奥,21,20309
90,肖勒·艾迪尔,12,20120
91,王柏崴,12,20040
92,赛·普拉尼斯·巴米迪帕提,15,19780
93,维克多·斯文德森,11,19640
94,梅拉巴鲁旺,22,19253
95,郭冠麟,20,18960
96,马克斯·卫斯基兴,21,18669
97,阮海当,21,18570
98,乔兰·奎克尔,16,18557
99,奇拉格·森,17,18440
100,马克·雪莱·阿尔卡拉,18,18190
1,安赛龙,15,97605
2,石宇奇,21,90184
3,李诗沣,23,83948
4,安德斯·安东森,21,82430
5,安东尼·西尼苏卡·金廷,20,81501
6,奈良冈功大,22,81015
7,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,76587
8,昆拉武特·威提讪,20,73398
9,乔纳坦·克里斯蒂,18,73131
10,李梓嘉,24,70096
11,西本拳太,27,65657
12,骆建佑,21,65072
13,李卓耀,27,62594
14,周天成,28,60007
15,黄智勇,22,59360
16,翁泓阳,21,58840
